,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,STAR,Year
220,Bobby Jones,SF,23.0,PHI,44.0,5.0,7.6,1.0,2.1,0.462,0.0,0.2,0.111,1.0,1.9,0.5,0.468,0.5,0.9,0.561,0.5,0.8,1.3,0.4,0.3,0.0,0.4,1.3,2.5,False,2007
221,Dahntay Jones,SG,26.0,MEM,78.0,25.0,21.4,2.8,5.9,0.477,0.1,0.2,0.417,2.8,5.8,0.479,0.483,1.8,2.2,0.793,0.6,1.4,2.0,0.9,0.5,0.3,1.2,2.5,7.5,False,2007
222,Damon Jones,PG,30.0,CLE,60.0,0.0,19.6,2.3,5.9,0.386,1.5,3.9,0.385,0.8,2.1,0.387,0.511,0.5,0.7,0.682,0.2,1.0,1.1,1.6,0.3,0.0,0.6,0.9,6.6,False,2007
223,Dwayne Jones,PF,23.0,CLE,4.0,0.0,4.5,0.0,0.3,0.0,0.0,0.0,,0.0,0.3,0.0,0.0,0.8,1.5,0.5,0.3,1.3,1.5,0.0,0.0,0.0,0.5,0.8,0.8,False,2007
224,Eddie Jones,SG,35.0,Traded,128.0,82.0,24.89,2.81,6.58,0.42,1.22,3.49,0.35,1.59,3.12,0.5,0.51,0.93,1.2,0.79,0.5,2.49,2.99,1.7,1.09,0.18,0.72,1.93,7.72,False,2007
225,Fred Jones,SG,27.0,Traded,126.0,24.0,20.91,2.22,5.73,0.39,0.6,2.01,0.3,1.58,3.69,0.43,0.44,1.51,1.82,0.83,0.38,1.49,1.82,1.7,0.8,0.28,1.09,1.92,6.52,False,2007
226,James Jones,SF,26.0,PHO,76.0,7.0,18.1,2.1,5.8,0.368,1.2,3.1,0.378,0.9,2.7,0.356,0.47,0.9,1.1,0.877,0.4,1.9,2.3,0.6,0.4,0.6,0.4,1.5,6.4,False,2007
227,Jumaine Jones,SF,27.0,PHO,18.0,0.0,7.7,0.8,2.8,0.275,0.6,1.8,0.313,0.2,1.1,0.211,0.373,0.1,0.1,1.0,0.3,0.9,1.3,0.1,0.3,0.1,0.4,1.1,2.2,False,2007
228,Solomon Jones,PF,22.0,ATL,58.0,8.0,11.5,1.1,2.2,0.508,0.0,0.0,0.0,1.1,2.2,0.512,0.508,1.0,1.3,0.787,0.8,1.5,2.3,0.2,0.2,0.7,0.4,2.1,3.3,False,2007
229,Chris Kaman,C,24.0,LAC,75.0,66.0,29.0,3.9,8.7,0.451,0.0,0.0,0.0,3.9,8.7,0.452,0.451,2.2,3.0,0.741,2.1,5.7,7.8,1.1,0.5,1.5,2.0,3.3,10.1,False,2007
230,Jason Kapono,SF,25.0,MIA,67.0,35.0,26.4,4.1,8.4,0.494,1.6,3.1,0.514,2.5,5.3,0.482,0.59,1.0,1.1,0.892,0.4,2.3,2.7,1.2,0.6,0.0,1.0,2.0,10.9,False,2007
231,Viktor Khryapa,PF,24.0,CHI,33.0,0.0,7.0,0.8,2.1,0.386,0.0,0.2,0.0,0.8,1.9,0.422,0.386,0.6,0.8,0.731,0.6,1.1,1.7,0.6,0.3,0.0,0.5,1.6,2.2,False,2007
232,Jason Kidd,PG,33.0,NJN,80.0,80.0,36.7,4.6,11.4,0.406,1.6,4.5,0.343,3.1,6.8,0.448,0.475,2.2,2.9,0.778,1.7,6.5,8.2,9.2,1.6,0.3,2.7,1.8,13.0,True,2007
233,Tarence Kinsey,SG,22.0,MEM,48.0,12.0,20.1,2.9,6.3,0.457,0.3,1.0,0.283,2.6,5.4,0.488,0.479,1.6,2.0,0.796,0.6,1.4,2.0,0.9,1.1,0.0,1.0,1.2,7.7,False,2007
234,Andrei Kirilenko,SF,25.0,UTA,70.0,70.0,29.3,2.8,6.0,0.471,0.2,1.1,0.213,2.6,4.9,0.528,0.49,2.5,3.4,0.728,1.3,3.4,4.7,2.9,1.1,2.1,1.9,2.5,8.3,False,2007
235,Linas Kleiza,PF,22.0,DEN,79.0,14.0,18.8,2.5,6.0,0.422,1.1,2.8,0.376,1.5,3.2,0.462,0.509,1.5,1.7,0.852,1.0,2.4,3.4,0.6,0.4,0.2,1.0,2.5,7.6,False,2007
236,Brevin Knight,PG,31.0,CHA,45.0,25.0,28.3,3.4,8.1,0.419,0.0,0.4,0.056,3.4,7.7,0.438,0.42,2.3,2.8,0.805,0.3,2.2,2.6,6.6,1.5,0.1,2.1,2.5,9.1,False,2007
237,Yaroslav Korolev,SF,19.0,LAC,10.0,0.0,4.1,0.4,1.6,0.25,0.1,0.5,0.2,0.3,1.1,0.273,0.281,0.3,0.6,0.5,0.1,0.2,0.3,0.4,0.3,0.0,0.1,0.0,1.2,False,2007
238,Kyle Korver,SF,25.0,PHI,74.0,1.0,30.9,5.0,11.4,0.44,1.8,4.1,0.43,3.2,7.3,0.446,0.518,2.6,2.8,0.914,0.4,3.1,3.5,1.4,0.8,0.3,1.6,2.5,14.4,False,2007
239,Nenad Krstić,C,23.0,NJN,26.0,26.0,32.6,6.5,12.4,0.526,0.0,0.0,0.0,6.5,12.4,0.528,0.526,3.3,4.7,0.711,2.0,4.8,6.8,1.8,0.4,0.9,2.0,3.4,16.4,False,2007
240,Raef LaFrentz,PF,30.0,POR,27.0,9.0,13.0,1.4,3.8,0.382,0.1,0.9,0.087,1.4,2.9,0.468,0.392,0.7,1.0,0.769,0.9,1.7,2.6,0.3,0.3,0.4,0.5,2.1,3.7,False,2007
241,James Lang,C,23.0,WAS,11.0,0.0,5.0,0.4,0.8,0.444,0.0,0.0,,0.4,0.8,0.444,0.444,0.3,0.5,0.6,0.5,0.5,1.0,0.2,0.0,0.3,0.2,1.3,1.0,False,2007
242,David Lee,PF,23.0,NYK,58.0,12.0,29.8,4.1,6.9,0.6,0.0,0.0,,4.1,6.9,0.6,0.6,2.4,3.0,0.815,3.4,7.0,10.4,1.8,0.8,0.4,1.6,2.7,10.7,False,2007
243,Rashard Lewis,SF,27.0,SEA,60.0,60.0,39.1,7.7,16.8,0.461,2.5,6.5,0.39,5.2,10.3,0.505,0.536,4.4,5.3,0.841,1.5,5.1,6.6,2.4,1.1,0.7,2.0,2.4,22.4,False,2007
244,Randy Livingston,PG,31.0,SEA,4.0,0.0,6.5,0.0,0.8,0.0,0.0,0.0,,0.0,0.8,0.0,0.0,0.0,0.0,,0.3,0.0,0.3,1.0,0.0,0.0,0.3,0.5,0.0,False,2007
245,Shaun Livingston,PG,21.0,LAC,54.0,31.0,29.8,3.9,8.3,0.463,0.1,0.3,0.313,3.8,8.0,0.469,0.469,1.5,2.1,0.707,1.0,2.4,3.4,5.1,1.1,0.5,2.0,2.5,9.3,False,2007
246,Kyle Lowry,PG,20.0,MEM,10.0,0.0,17.5,1.4,3.8,0.368,0.3,0.8,0.375,1.1,3.0,0.367,0.408,2.5,2.8,0.893,1.2,1.9,3.1,3.2,1.4,0.1,1.2,2.0,5.6,False,2007
247,John Lucas III,PG,24.0,HOU,47.0,0.0,8.1,1.3,3.3,0.397,0.3,1.3,0.254,1.0,2.1,0.485,0.446,0.3,0.4,0.789,0.2,0.6,0.8,0.7,0.4,0.0,0.3,0.8,3.3,False,2007
248,Tyronn Lue,PG,29.0,ATL,56.0,17.0,26.6,3.9,9.4,0.416,1.0,2.9,0.348,2.9,6.5,0.446,0.469,2.6,2.9,0.883,0.3,1.5,1.9,3.6,0.4,0.0,1.5,1.8,11.4,False,2007
249,Mark Madsen,C,31.0,MIN,56.0,0.0,8.4,0.4,0.8,0.535,0.0,0.0,,0.4,0.8,0.535,0.535,0.3,0.5,0.517,0.6,0.9,1.6,0.2,0.2,0.2,0.4,1.8,1.1,False,2007
250,Corey Maggette,SF,27.0,LAC,75.0,31.0,30.5,4.9,10.8,0.454,0.2,0.9,0.2,4.7,9.9,0.476,0.462,6.9,8.4,0.82,1.2,4.7,5.9,2.8,0.9,0.2,2.7,3.3,16.9,False,2007
251,Jamaal Magloire,C,28.0,POR,81.0,23.0,21.0,2.5,4.9,0.504,0.0,0.0,,2.5,4.9,0.504,0.504,1.6,3.0,0.541,1.9,4.2,6.1,0.4,0.3,0.8,1.6,2.8,6.5,False,2007
252,Renaldo Major,PF,24.0,GSW,1.0,0.0,27.0,2.0,10.0,0.2,0.0,0.0,,2.0,10.0,0.2,0.2,1.0,2.0,0.5,0.0,2.0,2.0,0.0,2.0,0.0,1.0,4.0,5.0,False,2007
253,Stephon Marbury,PG,29.0,NYK,74.0,74.0,37.1,5.3,12.9,0.415,1.7,4.7,0.357,3.7,8.2,0.448,0.48,4.0,5.2,0.769,0.5,2.4,2.9,5.4,1.0,0.1,2.4,2.5,16.4,False,2007
254,Shawn Marion,SF,28.0,PHO,80.0,80.0,37.6,7.0,13.4,0.524,1.0,3.2,0.317,6.0,10.2,0.587,0.561,2.5,3.1,0.81,2.2,7.7,9.8,1.7,2.0,1.5,1.4,2.7,17.5,False,2007
255,Damir Markota,PF,21.0,MIL,30.0,0.0,5.7,0.6,1.7,0.365,0.2,0.5,0.375,0.4,1.2,0.361,0.423,0.2,0.4,0.636,0.4,0.7,1.0,0.2,0.1,0.0,0.5,0.7,1.7,False,2007
256,Sean Marks,PF,31.0,PHO,3.0,0.0,5.7,0.7,2.0,0.333,0.0,0.3,0.0,0.7,1.7,0.4,0.333,0.7,0.7,1.0,0.0,1.0,1.0,0.0,0.0,0.3,0.0,1.3,2.0,False,2007
257,Donyell Marshall,PF,33.0,CLE,81.0,0.0,16.8,2.6,6.1,0.424,1.2,3.3,0.351,1.4,2.7,0.514,0.52,0.7,1.0,0.663,1.1,2.9,4.0,0.6,0.5,0.5,0.8,1.6,7.0,False,2007
258,Rawle Marshall,SG,24.0,IND,40.0,2.0,9.0,0.8,2.2,0.36,0.1,0.5,0.222,0.7,1.8,0.394,0.382,0.8,1.1,0.689,0.2,0.5,0.7,0.3,0.3,0.1,0.5,0.6,2.5,False,2007
259,Darrick Martin,PG,35.0,TOR,31.0,0.0,7.1,1.1,3.0,0.351,0.4,1.2,0.351,0.6,1.8,0.351,0.42,0.5,0.7,0.714,0.1,0.3,0.4,1.4,0.1,0.0,0.4,0.7,3.0,False,2007
260,Kenyon Martin,PF,29.0,DEN,2.0,2.0,31.5,4.0,8.0,0.5,0.0,0.5,0.0,4.0,7.5,0.533,0.5,1.5,6.0,0.25,3.0,7.0,10.0,0.5,0.0,0.0,2.5,5.0,9.5,False,2007
261,Kevin Martin,SG,23.0,SAC,80.0,80.0,35.2,6.3,13.3,0.473,1.6,4.2,0.381,4.7,9.2,0.515,0.533,6.0,7.1,0.844,0.9,3.4,4.3,2.2,1.2,0.1,1.7,2.3,20.2,False,2007
262,Desmond Mason,SF,29.0,NOK,75.0,75.0,34.3,5.4,12.0,0.452,0.0,0.0,,5.4,12.0,0.452,0.452,2.9,4.3,0.663,1.7,2.9,4.6,1.5,0.7,0.3,2.6,2.3,13.7,False,2007
263,Roger Mason,SG,26.0,WAS,62.0,0.0,7.9,1.0,2.9,0.33,0.5,1.6,0.324,0.4,1.2,0.338,0.422,0.2,0.3,0.875,0.1,0.6,0.7,0.6,0.2,0.1,0.3,1.1,2.7,False,2007
264,Jason Maxiell,C,23.0,DET,67.0,8.0,14.1,2.0,3.9,0.5,0.0,0.0,,2.0,3.9,0.5,0.5,1.1,2.0,0.526,1.3,1.5,2.8,0.2,0.4,0.9,0.8,1.6,5.0,False,2007
265,Sean May,PF,22.0,CHA,35.0,8.0,23.9,4.7,9.4,0.5,0.1,0.1,0.667,4.6,9.3,0.498,0.503,2.5,3.2,0.768,2.1,4.6,6.7,1.9,0.5,0.7,1.6,2.9,11.9,False,2007
266,Rashad McCants,SG,22.0,MIN,37.0,0.0,15.0,1.7,4.8,0.35,0.5,2.0,0.267,1.1,2.8,0.412,0.407,1.1,1.6,0.69,0.4,0.9,1.3,1.0,0.7,0.2,1.1,1.9,5.0,False,2007
267,Chris McCray,SG,22.0,MIL,5.0,0.0,2.4,0.0,0.6,0.0,0.0,0.0,,0.0,0.6,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.0,False,2007
268,Antonio McDyess,PF,32.0,DET,82.0,3.0,21.1,3.5,6.6,0.526,0.0,0.0,,3.5,6.6,0.526,0.526,1.2,1.7,0.691,2.0,4.0,6.0,0.9,0.7,0.8,0.9,2.9,8.1,False,2007
269,Ivan McFarlin,PF,24.0,PHI,11.0,0.0,3.7,0.5,1.2,0.385,0.0,0.1,0.0,0.5,1.1,0.417,0.385,0.5,0.6,0.714,0.6,0.4,1.0,0.1,0.0,0.0,0.1,0.7,1.4,False,2007
270,Tracy McGrady,SG,27.0,HOU,71.0,71.0,35.8,9.0,20.8,0.431,1.8,5.4,0.331,7.2,15.5,0.466,0.474,4.9,6.9,0.707,0.8,4.5,5.3,6.5,1.3,0.5,3.0,1.9,24.6,True,2007
271,Jeff McInnis,PG,32.0,CHA,38.0,3.0,18.5,1.9,4.8,0.392,0.0,0.2,0.125,1.8,4.6,0.405,0.395,0.6,0.8,0.688,0.4,1.3,1.6,3.3,0.4,0.0,1.1,1.9,4.3,False,2007
272,Aaron McKie,SF,34.0,LAL,10.0,0.0,13.1,1.1,1.7,0.647,0.0,0.0,,1.1,1.7,0.647,0.647,0.0,0.0,,0.1,1.7,1.8,1.3,0.4,0.0,0.8,1.4,2.2,False,2007
273,Keith McLeod,PG,27.0,Traded,96.0,18.0,14.98,1.53,3.9,0.39,0.3,0.92,0.36,1.18,3.01,0.4,0.43,1.42,1.59,0.88,0.08,0.82,0.9,1.87,0.51,0.1,0.97,1.09,4.8,False,2007
274,Stanislav Medvedenko,C,27.0,ATL,14.0,0.0,5.8,0.9,2.1,0.414,0.1,0.1,0.5,0.8,1.9,0.407,0.431,1.2,1.4,0.85,0.3,0.7,1.0,0.1,0.0,0.1,0.4,1.1,3.0,False,2007
275,Pops Mensah-Bonsu,PF,23.0,DAL,12.0,0.0,5.9,0.9,1.4,0.647,0.0,0.0,,0.9,1.4,0.647,0.647,0.6,1.5,0.389,0.8,1.0,1.8,0.0,0.1,0.0,0.8,0.7,2.4,False,2007
276,C.J. Miles,SG,19.0,UTA,37.0,13.0,10.1,1.1,3.1,0.345,0.2,0.9,0.219,0.9,2.3,0.393,0.375,0.4,0.6,0.609,0.3,0.6,0.9,0.7,0.3,0.1,0.8,1.6,2.7,False,2007
277,Darko Miličić,PF,21.0,ORL,80.0,16.0,23.9,3.1,6.9,0.454,0.0,0.0,0.0,3.1,6.8,0.455,0.454,1.8,2.9,0.613,1.8,3.7,5.5,1.1,0.6,1.8,1.6,2.7,8.0,False,2007
278,Andre Miller,PG,30.0,Traded,160.0,158.0,37.08,5.31,11.39,0.47,0.08,0.41,0.13,5.23,10.93,0.48,0.47,2.79,3.53,0.78,1.22,3.19,4.41,7.81,1.39,0.11,2.79,2.29,13.41,False,2007
279,Brad Miller,C,30.0,SAC,63.0,56.0,28.3,3.6,7.8,0.453,0.1,0.5,0.152,3.5,7.3,0.475,0.459,1.8,2.4,0.772,1.3,5.1,6.4,3.6,0.6,0.6,1.7,2.5,9.0,False,2007
280,Mike Miller,SG,26.0,MEM,70.0,69.0,39.1,6.6,14.4,0.46,2.9,7.1,0.406,3.8,7.3,0.514,0.56,2.3,2.9,0.793,0.7,4.7,5.4,4.3,0.8,0.3,2.6,2.0,18.5,False,2007
281,Paul Millsap,PF,21.0,UTA,82.0,1.0,18.0,2.5,4.9,0.525,0.0,0.0,0.333,2.5,4.8,0.527,0.526,1.7,2.5,0.673,2.2,2.9,5.2,0.8,0.8,0.9,1.1,2.9,6.8,False,2007
282,Yao Ming,C,26.0,HOU,48.0,48.0,33.8,8.8,17.1,0.516,0.0,0.0,0.0,8.8,17.0,0.518,0.516,7.4,8.6,0.862,2.1,7.3,9.4,2.0,0.4,2.0,3.5,3.3,25.0,True,2007
283,Cuttino Mobley,SG,31.0,LAC,78.0,73.0,36.4,5.0,11.3,0.44,1.3,3.2,0.411,3.7,8.2,0.451,0.497,2.6,3.1,0.837,0.7,2.8,3.4,2.5,1.2,0.3,1.9,2.4,13.8,False,2007
284,Nazr Mohammed,C,29.0,DET,51.0,33.0,15.2,2.3,4.4,0.532,0.0,0.0,,2.3,4.4,0.532,0.532,1.0,1.6,0.61,1.7,2.7,4.5,0.2,0.5,0.8,0.8,2.6,5.6,False,2007
285,Mikki Moore,C,31.0,NJN,79.0,55.0,26.4,3.9,6.4,0.609,0.0,0.0,0.0,3.9,6.4,0.61,0.609,2.0,3.0,0.681,1.8,3.3,5.1,0.9,0.6,0.8,1.4,3.3,9.8,False,2007
286,Randolph Morris,C,21.0,NYK,5.0,0.0,8.8,0.2,1.2,0.167,0.0,0.0,,0.2,1.2,0.167,0.167,0.4,1.2,0.333,0.2,1.6,1.8,0.2,0.4,0.2,0.4,0.8,0.8,False,2007
287,Adam Morrison,PF,22.0,CHA,78.0,23.0,29.8,4.6,12.1,0.376,1.1,3.3,0.337,3.4,8.8,0.391,0.422,1.5,2.2,0.71,0.7,2.3,2.9,2.1,0.4,0.1,1.7,2.3,11.8,False,2007
288,Alonzo Mourning,C,36.0,MIA,77.0,43.0,20.4,3.1,5.5,0.56,0.0,0.0,,3.1,5.5,0.56,0.56,2.4,4.0,0.601,1.6,2.9,4.5,0.2,0.2,2.3,1.7,2.8,8.6,True,2007
289,Troy Murphy,PF,26.0,Traded,136.0,96.0,27.22,3.9,8.5,0.46,0.88,2.19,0.4,3.07,6.41,0.48,0.51,1.61,2.11,0.75,1.48,4.6,6.08,1.88,0.69,0.62,1.13,2.9,10.28,False,2007
290,Ronald Murray,SG,27.0,DET,69.0,18.0,21.4,2.6,6.3,0.404,0.3,1.2,0.289,2.2,5.1,0.431,0.432,1.3,1.7,0.725,0.4,1.3,1.6,2.7,0.7,0.2,1.3,1.4,6.7,False,2007
291,Dikembe Mutombo,C,40.0,HOU,75.0,33.0,17.2,1.1,2.0,0.556,0.0,0.0,,1.1,2.0,0.556,0.556,0.8,1.2,0.69,2.2,4.3,6.5,0.2,0.3,1.0,0.5,2.1,3.1,True,2007
292,Boštjan Nachbar,SF,26.0,NJN,76.0,1.0,20.2,3.0,6.5,0.457,1.5,3.5,0.423,1.5,3.0,0.496,0.57,1.7,2.2,0.805,0.4,3.0,3.3,0.8,0.4,0.3,0.9,2.4,9.2,False,2007
293,Eduardo Nájera,PF,30.0,DEN,75.0,36.0,22.1,2.7,4.7,0.576,0.0,0.2,0.083,2.7,4.6,0.594,0.578,1.2,1.6,0.715,1.7,2.4,4.1,0.9,1.0,0.3,0.7,2.8,6.6,False,2007
294,Steve Nash,PG,32.0,PHO,76.0,76.0,35.3,6.8,12.8,0.532,2.1,4.5,0.455,4.8,8.3,0.575,0.613,2.9,3.3,0.899,0.4,3.1,3.5,11.6,0.8,0.1,3.8,1.5,18.6,True,2007
295,Jameer Nelson,PG,24.0,ORL,77.0,77.0,30.3,4.9,11.4,0.43,0.8,2.5,0.335,4.0,8.8,0.457,0.467,2.4,2.9,0.828,0.6,2.4,3.1,4.3,0.9,0.1,2.4,2.9,13.0,False,2007
296,Rasho Nesterović,C,30.0,TOR,80.0,73.0,21.0,2.9,5.3,0.546,0.0,0.0,0.0,2.9,5.3,0.548,0.546,0.4,0.6,0.68,1.4,3.1,4.5,0.9,0.5,1.1,0.7,2.4,6.2,False,2007
297,Ira Newble,SF,32.0,CLE,15.0,1.0,8.6,1.1,2.5,0.432,0.5,1.0,0.533,0.5,1.5,0.364,0.541,0.4,0.7,0.6,0.9,1.1,2.0,0.1,0.4,0.0,0.2,1.1,3.1,False,2007
298,Andrés Nocioni,PF,27.0,CHI,53.0,31.0,26.5,5.2,11.0,0.467,1.5,3.9,0.383,3.6,7.1,0.515,0.536,2.3,2.7,0.848,0.8,4.9,5.7,1.1,0.5,0.5,2.0,3.1,14.1,False,2007
299,David Noel,PF,22.0,MIL,68.0,0.0,11.6,1.0,2.6,0.367,0.3,0.8,0.321,0.7,1.8,0.387,0.415,0.5,0.6,0.86,0.6,1.2,1.8,1.0,0.4,0.1,0.6,1.1,2.7,False,2007
300,Steve Novak,SF,23.0,HOU,35.0,1.0,5.5,0.5,1.4,0.36,0.4,1.1,0.333,0.1,0.3,0.455,0.49,0.1,0.1,1.0,0.1,0.6,0.7,0.2,0.1,0.0,0.1,0.6,1.5,False,2007
301,Dirk Nowitzki,PF,28.0,DAL,78.0,78.0,36.2,8.6,17.2,0.502,0.9,2.2,0.416,7.7,15.0,0.515,0.529,6.4,7.1,0.904,1.6,7.3,8.9,3.4,0.7,0.8,2.1,2.2,24.6,False,2007
302,Patrick O'Bryant,C,20.0,GSW,16.0,0.0,7.4,0.6,2.0,0.313,0.0,0.0,,0.6,2.0,0.313,0.313,0.7,1.1,0.647,0.4,0.9,1.3,0.6,0.4,0.5,0.5,1.6,1.9,False,2007
303,Jermaine O'Neal,C,28.0,IND,69.0,69.0,35.6,7.2,16.5,0.436,0.0,0.1,0.0,7.2,16.4,0.439,0.436,5.0,6.5,0.767,2.2,7.4,9.6,2.4,0.7,2.6,2.9,3.4,19.4,False,2007
304,Shaquille O'Neal,C,34.0,MIA,40.0,39.0,28.4,7.1,12.0,0.591,0.0,0.0,,7.1,12.0,0.591,0.591,3.1,7.4,0.422,2.4,5.0,7.4,2.0,0.2,1.4,2.4,3.5,17.3,True,2007
305,Fabricio Oberto,C,31.0,SAS,79.0,33.0,17.3,2.0,3.6,0.562,0.0,0.0,,2.0,3.6,0.562,0.562,0.4,0.6,0.647,1.7,3.0,4.7,0.9,0.3,0.3,0.9,2.7,4.4,False,2007
306,Lamar Odom,PF,27.0,LAL,56.0,56.0,39.3,5.7,12.2,0.468,1.0,3.3,0.297,4.7,8.9,0.531,0.508,3.5,5.1,0.7,1.8,7.9,9.8,4.8,0.9,0.6,2.9,3.3,15.9,False,2007
307,Emeka Okafor,C,24.0,CHA,67.0,65.0,34.8,5.9,11.0,0.532,0.0,0.0,,5.9,11.0,0.532,0.532,2.6,4.4,0.593,3.9,7.4,11.3,1.2,0.9,2.6,1.7,3.1,14.4,False,2007
308,Mehmet Okur,C,27.0,UTA,80.0,80.0,33.3,6.1,13.3,0.462,1.6,4.2,0.384,4.5,9.1,0.498,0.523,3.7,4.8,0.765,2.0,5.2,7.2,2.0,0.5,0.5,1.6,3.2,17.6,False,2007
309,Kevin Ollie,PG,34.0,PHI,53.0,23.0,17.3,1.5,3.5,0.433,0.0,0.0,0.0,1.5,3.5,0.438,0.433,0.7,0.8,0.822,0.2,1.2,1.4,2.5,0.4,0.0,0.9,1.4,3.8,False,2007
310,Michael Olowokandi,C,31.0,BOS,24.0,0.0,9.8,0.8,1.9,0.413,0.0,0.0,,0.8,1.9,0.413,0.413,0.1,0.1,0.667,0.6,1.4,2.0,0.2,0.3,0.5,0.7,2.0,1.7,False,2007
311,Bo Outlaw,PF,35.0,ORL,41.0,0.0,11.2,0.8,1.2,0.667,0.0,0.0,,0.8,1.2,0.667,0.667,0.3,0.5,0.591,1.1,1.4,2.6,0.4,0.4,0.1,0.5,1.4,2.0,False,2007
312,Travis Outlaw,PF,22.0,POR,67.0,1.0,22.9,3.7,8.5,0.434,0.1,0.6,0.27,3.5,7.9,0.445,0.443,2.1,2.7,0.79,1.0,2.3,3.2,0.8,0.9,1.1,1.0,2.2,9.6,False,2007
313,Zaza Pachulia,C,22.0,ATL,72.0,47.0,28.1,4.0,8.5,0.474,0.0,0.0,0.0,4.0,8.5,0.475,0.474,4.1,5.2,0.786,2.8,4.2,6.9,1.5,1.1,0.5,2.3,3.7,12.2,False,2007
314,Scott Padgett,PF,30.0,Traded,62.0,0.0,7.49,0.49,1.79,0.28,0.27,1.08,0.23,0.28,0.7,0.35,0.34,0.22,0.43,0.44,0.52,1.21,1.73,0.27,0.19,0.09,0.28,1.13,1.48,False,2007
315,Jannero Pargo,PG,27.0,NOK,82.0,7.0,20.9,3.5,8.4,0.409,1.0,2.5,0.388,2.5,5.9,0.418,0.467,1.3,1.5,0.852,0.2,2.0,2.2,2.5,0.6,0.0,1.5,1.5,9.2,False,2007
316,Anthony Parker,SG,31.0,TOR,73.0,73.0,33.4,4.5,9.4,0.477,1.6,3.6,0.441,2.9,5.8,0.5,0.561,1.8,2.2,0.835,0.8,3.1,3.9,2.1,1.0,0.2,1.0,1.8,12.4,False,2007
317,Smush Parker,PG,25.0,LAL,82.0,80.0,30.0,4.2,9.6,0.436,1.3,3.7,0.365,2.8,5.9,0.479,0.506,1.4,2.1,0.646,0.5,2.0,2.5,2.8,1.5,0.1,1.9,2.6,11.1,False,2007
318,Tony Parker,PG,24.0,SAS,77.0,77.0,32.5,7.4,14.2,0.52,0.2,0.5,0.395,7.2,13.7,0.525,0.527,3.6,4.5,0.783,0.4,2.8,3.2,5.5,1.1,0.1,2.5,1.8,18.6,False,2007
319,Ruben Patterson,SF,31.0,MIL,81.0,53.0,31.0,5.9,10.7,0.548,0.0,0.2,0.158,5.8,10.5,0.557,0.55,3.0,4.6,0.641,2.3,3.1,5.4,2.9,1.4,0.3,2.5,2.9,14.7,False,2007
320,Chris Paul,PG,21.0,NOK,64.0,64.0,36.8,6.0,13.6,0.437,0.8,2.2,0.35,5.2,11.4,0.455,0.466,4.6,5.6,0.818,0.8,3.5,4.4,8.9,1.8,0.0,2.5,2.4,17.3,False,2007
321,Sasha Pavlović,SG,23.0,CLE,67.0,28.0,22.9,3.3,7.3,0.453,0.9,2.2,0.405,2.4,5.1,0.474,0.514,1.5,1.9,0.794,0.3,2.0,2.4,1.6,0.8,0.3,1.5,2.2,9.0,False,2007
322,Gary Payton,PG,38.0,MIA,68.0,28.0,22.1,2.1,5.4,0.393,0.5,1.8,0.26,1.6,3.6,0.461,0.437,0.6,0.8,0.667,0.3,1.7,1.9,3.0,0.6,0.0,1.0,1.7,5.3,True,2007
323,Kendrick Perkins,C,22.0,BOS,72.0,53.0,21.9,1.8,3.7,0.491,0.0,0.0,0.0,1.8,3.7,0.496,0.491,0.8,1.4,0.6,1.6,3.6,5.2,1.3,0.3,1.3,1.6,3.0,4.5,False,2007
324,Morris Peterson,SF,29.0,TOR,71.0,12.0,21.3,3.1,7.3,0.429,1.5,4.2,0.359,1.6,3.1,0.523,0.532,1.2,1.7,0.683,0.5,2.9,3.3,0.7,0.6,0.2,0.7,1.8,8.9,False,2007
325,Johan Petro,C,21.0,SEA,81.0,13.0,18.6,2.8,5.4,0.516,0.0,0.0,,2.8,5.4,0.516,0.516,0.6,1.0,0.649,1.1,3.0,4.1,0.6,0.5,0.6,1.0,2.9,6.2,False,2007
326,Eric Piatkowski,SG,36.0,PHO,11.0,0.0,6.6,0.8,2.3,0.36,0.6,1.6,0.389,0.2,0.6,0.286,0.5,0.2,0.2,1.0,0.2,0.6,0.8,0.4,0.0,0.1,0.5,0.5,2.5,False,2007
327,Paul Pierce,SG,29.0,BOS,47.0,46.0,37.0,7.9,18.1,0.439,2.3,5.9,0.389,5.7,12.2,0.463,0.502,6.8,8.6,0.796,0.8,5.1,5.9,4.1,1.0,0.3,3.2,2.6,25.0,False,2007
328,Mickaël Piétrus,SF,24.0,GSW,72.0,38.0,26.9,4.0,8.1,0.488,1.3,3.3,0.388,2.7,4.8,0.558,0.567,1.9,2.9,0.648,1.1,3.4,4.5,0.9,0.7,0.8,1.5,3.1,11.1,False,2007
329,Kevinn Pinkney,PF,23.0,BOS,6.0,0.0,16.7,2.0,4.5,0.444,0.2,0.3,0.5,1.8,4.2,0.44,0.463,1.0,1.5,0.667,1.2,1.3,2.5,0.8,0.5,0.5,0.7,2.0,5.2,False,2007
